Mo da yda  time  FoF2
12 23 357  22.00    3.5
12 23 357  23.00    3.7
12 23 357   0.00    3.5
12 23 357   1.00   3.15
12 23 357   2.00    2.8
12 23 357   3.00    2.5
12 23 357   4.00   2.15
12 23 357   5.00   2.05
12 23 357   6.00   3.75
12 23 357   7.00    5.6
12 23 357   8.00    4.8
12 23 357   9.00    4.4
12 23 357  10.00    5.6
12 23 357  11.00   5.15
12 23 357  12.00   4.75
12 23 357  13.00   4.25
12 23 357  14.00    3.1
12 23 357  15.00   2.75
12 23 357  16.00   2.35
12 23 357  17.00   2.75
12 23 357  18.00    3.0
12 23 357  19.00   3.25
12 23 357  20.00    3.7
12 23 357  21.00    3.3
