Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12  2 336  23.00   2.10                            
12  2 336   4.00   2.30   1.80                     
12  2 336   5.00   4.10         180.00              
12  2 336   6.00   4.80   2.00                     
12  2 336   7.00   5.50   2.30                     
12  2 336   8.00   6.10   2.20  215.00              
12  2 336   9.00   6.50   1.80  220.00              
12  2 336  10.00   5.70   2.00                     
12  2 336  11.00   5.60   2.00  200.00              
12  2 336  12.00   4.80         160.00              
12  2 336  13.00   3.50   1.60                     
12  2 336  14.00   2.50   1.60                     
12  2 336  15.00   2.00   1.50                     
12  2 336  16.00   1.80   1.60                     
12  2 336  17.00   2.00   1.50                     
12  2 336  18.00   2.20   1.60                     
12  2 336  19.00   2.50   1.50                     
12  2 336  20.00   2.10   1.60                     
12  2 336  21.00   2.40   1.50                     
