Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 3  1  61   0.00   1.60                            
 3  1  61   1.00   1.80                            
 3  1  61   2.00   2.00                            
 3  1  61   3.00   2.10   2.20                     
 3  1  61   4.00   3.40   1.90                     
 3  1  61   5.00   4.30   2.00                     
 3  1  61   6.00   4.60   2.40                     
 3  1  61   7.00   4.70   2.30                     
 3  1  61   8.00   5.10   2.80                     
 3  1  61   9.00   5.00   2.60   2.55              
 3  1  61  10.00   4.90   2.60   2.55   3.90       
 3  1  61  11.00   5.00   2.40   2.40              
 3  1  61  12.00   5.00   2.20   2.15              
 3  1  61  13.00   4.50   2.00   1.95              
 3  1  61  14.00   4.80          1.60              
 3  1  61  15.00   3.70   1.50                     
 3  1  61  16.00   3.00   1.90                     
 3  1  61  17.00   2.00   2.20                     
 3  1  61  18.00   2.10   2.30                     
 3  1  61  19.00   2.00   2.20                     
 3  1  61  20.00   2.10   2.50                     
 3  1  61  21.00   1.90   2.00                     
