Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 24 358   7.00    4.8                            
12 24 358   8.00    5.4                            
12 24 358   9.00    6.1    2.4                  2.4
12 24 358  10.00    6.8                            
12 24 358  11.00    6.4                            
12 24 358  12.00    6.8                            
12 24 358  13.00      6                            
12 24 358  14.00      5                            
12 24 358  15.00    4.3                            
12 24 358  16.00    2.7                            
12 24 358  17.00    2.6                            
12 24 358  19.00    3.2                            
12 24 358  21.00    3.1                            
