Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 3 14  73   5.00    3.2                            
 3 14  73   6.00    3.8           2.1              
 3 14  73   7.00    4.2           2.2    3.3       
 3 14  73   8.00    4.5             2      3       
 3 14  73   9.00    4.8           2.3    2.8       
 3 14  73  10.00      5           2.5      3       
 3 14  73  11.00    5.3           2.8    4.5       
 3 14  73  12.00    5.1           2.6      4       
 3 14  73  13.00      5           2.6    3.9       
 3 14  73  14.00    4.9           2.6    3.8       
 3 14  73  15.00    4.7           2.3    3.6       
 3 14  73  16.00    4.5                            
 3 14  73  17.00    4.4                            
 3 14  73  18.00    3.5                            
 3 14  73  19.00    3.3                            
