         2     12.37      12.6     21.86
         4     5.656     11.16     12.22
         6      4.68     7.223     6.947
         8     2.551      7.07     6.557
        10     2.836     8.729     9.727
        12     3.929     4.395      7.96
        14     4.042     3.303     5.927
        16     2.592     2.308     2.204
        18    0.9055    0.8411    0.2838
        20    0.2939    0.2592    0.1709
        22    0.3413    0.1926    0.3148
        24    0.6039    0.2139    0.3105
        26    0.8741    0.1874    0.2356
        28     1.004    0.1224    0.1695
        30    0.9726   0.09592    0.1554
