mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
 1 13  13  0.00  0.00  0.00  0.00   0.0   0.0   0.0  0.00   0.0   0.0  0.00  0.00
 1 13  13  0.25  2.40  0.00  0.00 315.5   0.0   0.0  1.56  50.4  92.6  2.27  0.00
 1 13  13  0.50  2.48  0.00  0.00 272.1   0.0   0.0  1.64  50.5  86.6  3.25  0.00
 1 13  13  0.75  2.96  0.00  0.00 244.9   0.0   0.0  1.87  39.9  68.6  3.21  0.00
 1 13  13  1.00  3.60  0.00  0.00 267.2   0.0   0.0  4.03  60.2  85.3  6.00  0.00
 1 13  13  1.25  4.40  0.00  0.00 229.9   0.0   0.0  2.79  25.5  48.4  1.93  0.00
 1 13  13  1.50  5.20  0.00  0.00 220.4   0.0   0.0  3.25  21.3  35.6  2.74  0.00
 1 13  13  1.75  5.52  0.00  0.00 214.5   0.0   0.0  4.27  25.5  41.8  3.35  0.00
 1 13  13  2.00  5.12  0.00  0.00 211.5   0.0   0.0  3.95  27.1  46.1  2.85  0.00
 1 13  13  2.25  4.88  0.00  0.00 205.7   0.0   0.0  3.54  26.3  46.2  2.39  0.00
 1 13  13  2.50  5.12  0.00  2.02 211.6   0.0 103.1  4.82  33.1  62.5  1.94  0.00
 1 13  13  2.75  5.12  0.00  2.10 206.0   0.0 102.0  4.42  29.9  58.3  1.77  0.00
 1 13  13  3.00  5.04  0.00  2.18 206.5   0.0 100.9  4.76  33.6  63.9  1.94  0.00
 1 13  13  3.25  5.12  0.00  2.18 226.3   0.0 101.1  6.26  43.8  85.5  1.94  0.00
 1 13  13  3.50  5.29  3.18  2.26 218.1 160.6 102.8  5.44  35.8  62.5  2.30  0.52
 1 13  13  3.75  5.60  0.00  2.26 249.8   0.0 102.4 10.12  61.4  87.5  5.52  0.00
 1 13  13  4.00  5.92  3.40  2.34 215.5 165.8 101.4  5.79  29.9  51.6  2.27  0.50
 1 13  13  4.25  6.08  3.32  2.34 223.3 153.6 101.4  7.91  40.0  74.5  2.10  0.50
 1 13  13  4.50  6.08  3.48  2.34 218.6 163.6 101.4  6.50  32.0  61.4  1.84  0.50
 1 13  13  4.75  6.17  3.48  2.42 213.1 162.9 101.0  6.00  28.4  52.1  1.91  0.55
 1 13  13  5.00  5.84  0.00  2.42 209.6   0.0 104.5  6.29  33.3  61.8  1.99  0.00
 1 13  13  5.25  6.16  0.00  2.42 242.8   0.0 104.4 10.60  52.3  97.6  2.22  0.00
 1 13  13  5.50  6.17  3.48  2.42 209.9 166.0 107.3  5.30  24.7  44.8  1.92  0.55
 1 13  13  5.75  5.77  3.16  2.42 214.3 150.9 102.7  6.63  37.1  63.6  2.53  0.60
 1 13  13  6.00  5.93  3.24  2.42 240.9 153.8 105.7  9.82  53.2  90.9  3.01  0.50
 1 13  13  6.25  6.10  3.80  2.34 228.2 182.3 103.1  6.29  30.1  50.5  2.22  0.60
 1 13  13  6.50  5.85  3.00  2.34 207.2 151.8 103.7  5.49  29.4  51.5  2.16  1.00
 1 13  13  6.75  5.61  3.16  2.26 214.6 156.7  99.1  6.04  35.7  58.5  2.86  0.60
 1 13  13  7.00  6.08  3.08  2.26 221.3 164.4 107.4  5.57  26.6  58.5  1.35  0.50
 1 13  13  7.25  5.29  2.84  2.18 202.1 165.4 106.5  3.83  24.9  34.8  5.23  0.50
 1 13  13  7.50  4.49  2.72  2.10 205.7 148.3 101.0  4.14  38.5  61.0  3.32  0.51
 1 13  13  7.75  4.48  0.00  2.10 204.4   0.0 101.3  4.14  37.2  67.2  2.34  0.00
 1 13  13  8.00  4.72  0.00  0.00 202.5   0.0   0.0  3.32  25.9  54.4  1.51  0.00
 1 13  13  8.25  4.40  0.00  0.00 214.4   0.0   0.0  3.82  35.9  60.7  2.83  0.00
 1 13  13  8.50  4.52  0.00  0.00 244.3   0.0   0.0  5.67  52.2 104.5  2.11  0.00
 1 13  13  8.75  4.25  0.00  0.00 206.5   0.0   0.0  2.23  21.1  34.6  3.00  0.00
 1 13  13  9.00  3.84  0.00  0.00 236.4   0.0   0.0  4.08  52.5  95.1  2.76  0.00
 1 13  13  9.25  3.52  0.00  0.00 250.2   0.0   0.0  3.62  55.5 104.1  2.47  0.00
 1 13  13  9.50  3.52  0.00  0.00 260.0   0.0   0.0  3.45  53.1  93.5  2.90  0.00
 1 13  13  9.75  3.28  0.00  0.00 281.3   0.0   0.0  3.32  59.5 105.2  2.91  0.00
 1 13  13 10.00  3.36  0.00  0.00 267.8   0.0   0.0  2.45  42.3  61.5  6.00  0.00
 1 13  13 10.25  3.04  0.00  0.00 245.2   0.0   0.0  1.79  37.2  65.7  2.84  0.00
 1 13  13 10.50  2.56  0.00  0.00 271.4   0.0   0.0  1.66  49.1  86.4  2.88  0.00
 1 13  13 10.75  2.56  0.00  0.00 310.1   0.0   0.0  1.85  54.8  98.4  2.63  0.00
 1 13  13 11.00  2.56  0.00  0.00 311.8   0.0   0.0  1.80  53.1  95.8  2.58  0.00
 1 13  13 11.25  2.48  0.00  0.00 287.3   0.0   0.0  1.47  46.3  83.1  2.63  0.00
 1 13  13 11.50  2.40  0.00  0.00 273.6   0.0   0.0  1.30  43.7  78.6  2.60  0.00
 1 13  13 11.75  2.24  0.00  0.00 273.7   0.0   0.0  0.95  36.5  65.6  2.62  0.00
 1 13  13 12.00  2.08  0.00  0.00 263.8   0.0   0.0  0.64  28.2  50.7  2.62  0.00
 1 13  13 12.25  2.08  0.00  0.00 292.9   0.0   0.0  1.08  48.3  86.4  2.68  0.00
 1 13  13 12.50  1.84  0.00  0.00 308.0   0.0   0.0  0.89  50.6  89.9  2.77  0.00
 1 13  13 12.75  1.92  0.00  0.00 310.0   0.0   0.0  0.99  51.5  91.5  2.76  0.00
 1 13  13 13.00  1.92  0.00  0.00 316.6   0.0   0.0  1.04  54.6  97.0  2.75  0.00
 1 13  13 13.25  1.76  0.00  0.00 310.8   0.0   0.0  0.82  50.6  89.7  2.78  0.00
 1 13  13 13.50  1.76  0.00  0.00 332.5   0.0   0.0  0.97  60.1 107.1  2.72  0.00
 1 13  13 13.75  2.00  0.00  0.00 366.5   0.0   0.0  1.56  77.2 113.1  6.00  0.00
 1 13  13 14.00  2.16  0.00  0.00 337.3   0.0   0.0  1.40  58.0 104.6  2.58  0.00
 1 13  13 14.25  2.32  0.00  0.00 322.6   0.0   0.0  1.40  50.0  90.4  2.55  0.00
 1 13  13 14.50  2.32  0.00  0.00 317.2   0.0   0.0  1.36  48.9  87.9  2.61  0.00
 1 13  13 14.75  2.32  0.00  0.00 332.1   0.0   0.0  1.59  57.1 102.5  2.64  0.00
 1 13  13 15.25  2.40  0.00  0.00 320.7   0.0   0.0  1.42  47.4  86.0  2.52  0.00
 1 13  13 15.50  2.48  0.00  0.00 321.2   0.0   0.0  1.53  48.0  86.9  2.54  0.00
 1 13  13 15.75  2.64  0.00  0.00 308.1   0.0   0.0  1.58  43.7  79.1  2.54  0.00
 1 13  13 16.00  2.64  0.00  0.00 301.3   0.0   0.0  1.77  49.2  88.6  2.59  0.00
 1 13  13 16.25  2.56  0.00  0.00 304.1   0.0   0.0  1.72  51.0  91.5  2.64  0.00
 1 13  13 16.50  2.40  0.00  0.00 320.9   0.0   0.0  1.50  50.1  90.2  2.61  0.00
 1 13  13 16.75  2.40  0.00  0.00 327.8   0.0   0.0  1.54  51.5  93.0  2.56  0.00
 1 13  13 17.00  2.48  0.00  0.00 312.4   0.0   0.0  1.43  44.7  80.9  2.56  0.00
 1 13  13 17.25  2.48  0.00  0.00 321.8   0.0   0.0  1.52  47.8  86.5  2.54  0.00
 1 13  13 17.50  2.48  0.00  0.00 314.5   0.0   0.0  1.40  43.8  79.5  2.52  0.00
 1 13  13 17.75  2.48  0.00  0.00 312.7   0.0   0.0  1.54  48.3  87.0  2.60  0.00
 1 13  13 18.00  2.56  0.00  0.00 313.7   0.0   0.0  1.60  47.1  84.9  2.57  0.00
 1 13  13 18.25  2.56  0.00  0.00 313.2   0.0   0.0  1.54  45.3  82.1  2.54  0.00
 1 13  13 18.50  2.64  0.00  0.00 313.7   0.0   0.0  1.83  50.7  91.6  2.57  0.00
 1 13  13 18.75  2.64  0.00  0.00 328.4   0.0   0.0  1.86  51.6  93.5  2.52  0.00
 1 13  13 19.00  2.64  0.00  0.00 336.1   0.0   0.0  1.99  55.2  99.9  2.54  0.00
 1 13  13 19.25  2.48  0.00  0.00 325.3   0.0   0.0  1.61  50.5  91.3  2.55  0.00
 1 13  13 19.50  2.32  0.00  0.00 326.7   0.0   0.0  1.44  51.7  93.3  2.56  0.00
 1 13  13 19.75  2.48  0.00  0.00 334.9   0.0   0.0  1.77  55.5 100.4  2.55  0.00
 1 13  13 20.00  2.40  0.00  0.00 343.9   0.0   0.0  1.85  63.5  93.2  6.00  0.00
 1 13  13 20.25  2.48  0.00  0.00 330.8   0.0   0.0  1.75  55.0  99.3  2.58  0.00
 1 13  13 20.50  2.40  0.00  0.00 323.6   0.0   0.0  1.49  49.9  90.5  2.52  0.00
 1 13  13 20.75  2.48  0.00  0.00 327.4   0.0   0.0  1.68  52.9  95.7  2.54  0.00
 1 13  13 21.00  2.48  0.00  0.00 331.1   0.0   0.0  1.74  54.5  98.8  2.53  0.00
 1 13  13 21.25  2.48  0.00  0.00 318.9   0.0   0.0  1.55  48.6  88.2  2.52  0.00
 1 13  13 21.50  2.48  0.00  0.00 308.9   0.0   0.0  1.49  46.9  84.5  2.60  0.00
 1 13  13 21.75  2.56  0.00  0.00 316.3   0.0   0.0  1.69  49.7  89.9  2.55  0.00
 1 13  13 22.00  2.48  0.00  0.00 325.1   0.0   0.0  1.75  55.2  99.6  2.58  0.00
 1 13  13 22.25  2.48  0.00  0.00 309.5   0.0   0.0  1.51  47.4  85.7  2.55  0.00
 1 13  13 22.50  2.72  0.00  0.00 308.2   0.0   0.0  1.85  48.5  87.5  2.57  0.00
 1 13  13 22.75  2.56  0.00  0.00 299.2   0.0   0.0  1.50  44.2  79.8  2.56  0.00
 1 13  13 23.00  2.56  0.00  0.00 288.0   0.0   0.0  1.34  39.5  71.5  2.55  0.00
 1 13  13 23.25  2.48  0.00  0.00 290.0   0.0   0.0  1.38  43.4  77.9  2.63  0.00
 1 13  13 23.50  2.24  0.00  0.00 291.4   0.0   0.0  1.18  45.5  81.4  2.67  0.00
 1 13  13 23.75  2.08  0.00  0.00 312.2   0.0   0.0  1.00  43.4  80.0  2.26  0.00
