Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 16 350  22.00   3.80   1.50                     
12 16 350  23.00   3.80   1.50                     
12 16 350   0.00   3.40   1.70                     
12 16 350   1.00   3.20   1.50                     
12 16 350   2.00   3.10   1.50                     
12 16 350   3.00   2.90   1.50                     
12 16 350   5.00   3.80                            
12 16 350   6.00   5.00                            
12 16 350   7.00   5.40                            
12 16 350   8.00   5.20                            
12 16 350  10.00   5.10                            
12 16 350  11.00   4.80   2.40                     
12 16 350  12.00          2.50                     
12 16 350  13.00   3.20   3.00                     
12 16 350  18.00   3.00                            
12 16 350  20.00   2.70                            
12 16 350  21.00   3.20                            
