Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 21 355  22.00   2.90                            
12 21 355  23.00   2.80                            
12 21 355   0.00   2.40   1.40                     
12 21 355   1.00   2.10   2.00                     
12 21 355   2.00   2.10   1.70                     
12 21 355   5.00   3.70                            
12 21 355   6.00   5.30         180.00              
12 21 355   7.00   5.30         205.00              
12 21 355   8.00   4.90         210.00              
12 21 355   9.00   5.40         215.00              
12 21 355  10.00   5.10   2.00                     
12 21 355  11.00   4.50   2.50                     
12 21 355  12.00   3.90                            
12 21 355  13.00   3.30   2.10                     
12 21 355  21.00   2.40   1.50                     
