Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 3  6  65  22.00          1.50                     
 3  6  65  23.00   3.40   1.50                     
 3  6  65   0.00   3.50   1.50                     
 3  6  65   1.00   3.40   1.50                     
 3  6  65   2.00   3.30   1.50                     
 3  6  65   3.00   3.40   1.50                     
 3  6  65   4.00   5.00                            
 3  6  65   5.00   5.70          2.10              
 3  6  65   6.00   6.30          2.35              
 3  6  65   7.00   5.80          2.35   3.80       
 3  6  65   8.00   5.80          2.80   3.90       
 3  6  65   9.00   6.00          2.90   4.00       
 3  6  65  10.00   6.20                            
 3  6  65  11.00   6.30          2.55              
 3  6  65  12.00   5.80          2.30              
 3  6  65  13.00   6.20          2.00              
 3  6  65  14.00   5.90                            
 3  6  65  15.00   5.10   1.50                     
 3  6  65  16.00   4.90   1.50                     
 3  6  65  17.00   3.90   1.50                     
 3  6  65  18.00   3.60   1.50                     
 3  6  65  19.00   3.30   1.50                     
 3  6  65  20.00   3.20   1.50                     
 3  6  65  21.00   3.30   1.50                     
