Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 3 17  76  22.00   2.80                            
 3 17  76  23.00   2.90                            
 3 17  76   3.00   3.80                            
 3 17  76   4.00   5.10                            
 3 17  76   5.00   5.80          2.40              
 3 17  76   6.00   6.60                 4.00       
 3 17  76   7.00   6.20                            
 3 17  76   8.00                                   
 3 17  76   9.00   6.00                 4.10       
 3 17  76  10.00   5.90                 4.10       
 3 17  76  11.00   5.90          3.00              
 3 17  76  12.00   6.10          2.75              
 3 17  76  13.00   6.10          2.40              
 3 17  76  14.00   6.30          2.00              
 3 17  76  16.00   5.60   1.50                     
 3 17  76  17.00   5.30   1.50                     
 3 17  76  18.00   4.10   1.50                     
 3 17  76  19.00   3.50   1.50                     
 3 17  76  20.00   3.50   1.50                     
 3 17  76  21.00   3.40   1.50                     
