Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12  4 339  22.00   2.40                            
12  4 339  23.00   2.30   1.60                     
12  4 339   0.00   2.10   1.50                     
12  4 339   1.00   1.90   2.00                     
12  4 339   2.00   2.00   1.50                     
12  4 339   3.00   2.40   1.60                     
12  4 339   4.00   2.60   1.60                     
12  4 339   5.00   4.60   1.60  160.00              
12  4 339   6.00   5.00   2.00  190.00              
12  4 339   7.00   5.20   1.60  230.00              
12  4 339   8.00   5.00   2.60  240.00              
12  4 339   9.00   6.10   2.60  240.00              
12  4 339  10.00   4.70   2.40  235.00              
12  4 339  11.00   5.70   2.10  210.00              
12  4 339  12.00   4.90   1.60  160.00              
12  4 339  13.00   5.20   1.50                     
12  4 339  14.00   3.80   1.60                     
12  4 339  15.00   2.10   1.60                     
12  4 339  16.00   2.30   1.60                     
12  4 339  17.00   2.30   1.60                     
12  4 339  18.00   2.80   1.60                     
12  4 339  19.00   3.00   1.60                     
12  4 339  20.00   3.00   1.60                     
12  4 339  21.00   2.60   1.40                     
