Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 29 364  22.00   2.50   1.60                     
12 29 364  23.00   2.30   1.50                     
12 29 364   4.00   2.00   1.60                     
12 29 364   5.00   3.60   1.50  150.00              
12 29 364   6.00   4.20   1.90  185.00              
12 29 364   7.00   5.60   1.50  205.00              
12 29 364   8.00   6.10   2.00  210.00              
12 29 364   9.00   6.10   2.10  215.00              
12 29 364  10.00   6.00   2.00  195.00              
12 29 364  11.00   5.40   2.10  180.00              
12 29 364  12.00   5.20   2.00  160.00              
12 29 364  13.00   3.70   2.50                     
12 29 364  14.00   2.90   1.60                     
12 29 364  15.00   2.20   1.60                     
12 29 364  20.00   2.00   1.60                     
