Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 29 364   1.00          2.00                     
12 29 364   4.00   1.90   1.60                     
12 29 364   5.00   3.20   2.00                     
12 29 364   6.00   4.20   3.30                     
12 29 364   7.00   5.00   2.10                     
12 29 364   8.00   5.80   2.30                     
12 29 364   9.00   6.30   2.40   2.15              
12 29 364  10.00   6.10   2.10   2.10              
12 29 364  11.00   5.70   2.00                     
12 29 364  12.00   5.50   1.80                     
12 29 364  13.00   4.50   1.50                     
12 29 364  14.00   3.00   1.50                     
12 29 364  15.00   2.30   1.50                     
12 29 364  16.00   2.10   1.50                     
12 29 364  17.00   2.30   1.50                     
12 29 364  18.00   2.50   2.50                     
12 29 364  19.00   2.30   1.50                     
12 29 364  20.00   2.50   1.50                     
12 29 364  21.00   2.20   1.50                     
