Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 30  30  23.00          2.50                     
 1 30  30   0.00          2.70                     
 1 30  30   1.00          2.50                     
 1 30  30   4.00   2.10   1.60                     
 1 30  30   5.00   4.40   3.30                     
 1 30  30   6.00   5.40   2.20   2.15              
 1 30  30   7.00   5.60   2.40   2.35              
 1 30  30   8.00   5.30   2.60                     
 1 30  30   9.00   5.60   2.90                     
 1 30  30  10.00   5.70   3.00                     
 1 30  30  11.00   5.20   2.80                     
 1 30  30  12.00   4.30   2.10   2.10              
 1 30  30  13.00   4.40   1.80   1.80              
 1 30  30  14.00   3.50   1.60                     
 1 30  30  15.00   3.30   1.60                     
 1 30  30  16.00   2.10   1.60                     
 1 30  30  17.00   2.00   1.60                     
 1 30  30  20.00   1.80   1.60                     
 1 30  30  21.00   1.80   1.60                     
