Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 3 17  76  22.00   2.80   1.40                     
 3 17  76  23.00   2.90   1.30                     
 3 17  76   0.00   3.10   1.40                     
 3 17  76   1.00   3.00   1.30                     
 3 17  76   2.00   2.70   1.60                     
 3 17  76   3.00   3.50   1.60   1.60              
 3 17  76   4.00   4.00   2.00   1.95              
 3 17  76   5.00   5.20   2.50   2.35              
 3 17  76   6.00   5.10   2.80   2.55              
 3 17  76   7.00   5.40   2.90          4.00       
 3 17  76   8.00   5.30   3.30          4.00       
 3 17  76   9.00   6.00   3.00          4.00       
 3 17  76  10.00   5.40   2.50   2.90   4.00       
 3 17  76  11.00   5.30   2.00   2.80              
 3 17  76  12.00   5.30   2.60   2.60              
 3 17  76  13.00   5.30   2.60   2.20              
 3 17  76  14.00   4.80   1.70   1.90              
 3 17  76  15.00   4.80   1.50   1.50              
 3 17  76  16.00   4.80   1.60                     
 3 17  76  17.00   4.20   1.50                     
 3 17  76  18.00   3.60   1.50                     
 3 17  76  19.00   2.90   1.60                     
 3 17  76  20.00   2.90   1.50                     
 3 17  76  21.00   2.80   1.50                     
