Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 26 360  22.00   3.50  16.00                     
12 26 360  23.00   3.50  16.00                     
12 26 360   0.00   2.70  15.00                     
12 26 360   1.00   2.10  15.00                     
12 26 360   2.00   2.40  16.00                     
12 26 360   3.00   2.20  16.00                     
12 26 360   4.00   2.30  16.00                     
12 26 360   5.00   4.10  17.00                     
12 26 360   6.00   4.80  18.00                     
12 26 360   7.00   6.10  27.00  270.00              
12 26 360   8.00   6.20  22.00  215.00              
12 26 360   9.00   6.10  22.00  225.00              
12 26 360  10.00   6.30  22.00  225.00              
12 26 360  11.00   4.50  20.00  200.00              
12 26 360  12.00   4.30  16.00  160.00              
12 26 360  13.00   4.20  16.00                     
12 26 360  14.00   2.80  18.00                     
12 26 360  15.00   2.30  15.00                     
12 26 360  16.00   2.40  17.00                     
12 26 360  17.00   2.20  16.00                     
12 26 360  18.00   2.50  15.00                     
12 26 360  19.00   2.90  16.00                     
12 26 360  20.00   2.70  15.00                     
12 26 360  21.00   3.10  23.00                     
