Mo da yda  time  FoF2
12 10 345  22.00    2.6
12 10 345  23.00    2.8
12 10 345   0.00    2.9
12 10 345   3.00    1.6
12 10 345   4.00    1.8
12 10 345   5.00    2.3
12 10 345   6.00   3.55
12 10 345   7.00    4.9
12 10 345   8.00    4.6
12 10 345   9.00    4.6
12 10 345  10.00    4.3
12 10 345  11.00    4.6
12 10 345  12.00    4.5
12 10 345  13.00    3.5
12 10 345  14.00    2.5
12 10 345  15.00    2.4
12 10 345  16.00    2.0
12 10 345  17.00    2.1
12 10 345  18.00    2.2
12 10 345  19.00    2.4
12 10 345  20.00    2.9
12 10 345  21.00    3.4
