Mo da yda  time  FoF2
 3 10  69  22.00    3.0
 3 10  69  23.00    2.9
 3 10  69   0.00    3.0
 3 10  69   1.00    3.1
 3 10  69   2.00    2.9
 3 10  69   3.00    2.5
 3 10  69   4.00    3.2
 3 10  69   5.00    4.3
 3 10  69   6.00   2.85
 3 10  69   7.00   2.75
 3 10  69   8.00    4.9
 3 10  69   9.00    5.2
 3 10  69  10.00    5.3
 3 10  69  11.00    5.1
 3 10  69  12.00    5.1
 3 10  69  13.00    5.0
 3 10  69  14.00    4.4
 3 10  69  15.00    4.4
 3 10  69  16.00    3.6
 3 10  69  17.00    3.8
 3 10  69  18.00    3.5
 3 10  69  19.00    3.5
 3 10  69  20.00    3.1
 3 10  69  21.00    3.5
